	coefficient	p_value	random_intercept_variance	residual_variance	log_likelihood	aic	bic	bse	q_value
COX5A	1.118529503213171	1.467907605919622e-14	0.09340485387509559	0.3925544853478452	-353.1516737925833			0.145446802586674	1.0666795269682586e-13
COMT	-0.3660943554450185	0.013380176796264876	0.15892084405144327	0.41700502756328756	-381.35308669976916			0.14800740548770794	0.028848249312386467
DBT	0.3419339722561709	0.06001362238166734	0.11359857597386026	0.6473673524447889	-462.97191120390903			0.18181270343776354	0.10343646921625503
RPL13	0.11373419146054337	0.527898393838921	0.010213331214638379	0.6184556472131382	-449.926401952765			0.18018228506513453	0.6099744692061031
LGALS16	0.6233154422436441	0.005558131313176717	0.15931922590238154	0.7705693563110833	-395.1529525688138			0.22479879031738714	0.01313861883909966
TIMM44	0.4166598021405326	0.036584724110449	0.16662687541612078	0.6378848152628649	-412.53015647415214			0.19932362781760013	0.06888601603138286
AP2A2	0.18674383639190925	0.32955478241961167	0.11018173159910989	0.626581039841268	-413.9000817236231			0.1915299706589653	0.4215035743854486
APOE	-0.46216205735479793	0.010064547548106954	0.06962468625578325	0.5482201644293236	-388.4366331901422			0.17957778578855818	0.02208796676665083
INMT	-1.077674080828693	1.625002829446493e-17	0.26778830204064685	0.2899125749791648	-295.4272787267521			0.12651904770142833	1.4492070688063724e-16
CALR	0.24777731370420672	0.13936621046525843	0.11262741251130538	0.536311379168775	-428.5805104350877			0.1676260340968854	0.20652303997948418
TFAM	0.696882108216972	2.7636378266385802e-05	0.052044908463274656	0.44714621135033705	-344.396982414426			0.1662363338010953	9.967384955633997e-05
RPL8	0.03941495845735268	0.8006018680644155	0.03622189058807585	0.4841812913831079	-414.5582316820214			0.1560566641702998	0.8490707379148017
PHB2	-0.13431299434281857	0.40087988177201717	0.10247232044563889	0.5167497940435266	-431.3272623800374			0.1598867448821802	0.4940492010280764
HDGF	0.3989086794882238	0.04218820596664431	0.07130658234457642	0.6281846830826578	-380.5455886627011			0.19634629226331965	0.0767841002843749
HNRNPA2B1	0.018854553919233418	0.9082432595248624	0.0021849685633329135	0.5323260326466647	-426.49810981862856			0.16359035505102623	0.9319943907885878
POR	-2.252304066103538	1.0003622570635904e-94	0.01742237607586343	0.24128517668681945	-286.5263422405237			0.10907665503303779	1.4019362488276888e-92
PGRMC1	-0.6381445415545272	6.198260740514691e-05	0.14198541110754984	0.4645627929488343	-373.5564746139405			0.1593316746068246	0.00021260467784772419
GCAT	0.5024282477824413	0.002120693646060413	0.09820991344113741	0.4988771046118536	-400.7715737129497			0.16350894091106466	0.00559247437307867
SOD2	0.941763996482866	1.1974905761569649e-11	0.20915930103714817	0.39120236759334354	-381.97342881401914			0.13889271434215777	7.435052248164447e-11
CTSD	-0.3433130884155883	0.0406421064090003	0.048545625991075404	0.5347861965859648	-422.8028075878983			0.1677019018401304	0.07493052611139708
RPS18	0.26321561152035033	0.1040343993646062	0.06681170900026734	0.5170007930204529	-429.90794155673507			0.16191887649142342	0.16072085949083256
RPS15A	-0.03653817294242121	0.8190606681857309	0.04671554327695807	0.4835285739001812	-395.4453916026191			0.15972741588981246	0.8630488888186918
RPS25	-0.09031978853859246	0.5781237117014442	0.03163935864726264	0.5242227473189834	-431.90605553312366			0.16240842624197413	0.6541399782919455
ALDH3A2	-1.5902080075075542	9.97593153944994e-38	0.018444816590345928	0.25400960171983034	-241.98689812037492			0.12386222173461768	1.74756943575007e-36
PSMB1	-0.13428090414344937	0.46470823793170735	0.1019530458475964	0.5871489556397395	-399.2851529086081			0.18366563558842533	0.5525803411042484
HSD11B1	1.868408031806791	2.3546613493883568e-64	0.015394222204549016	0.24941830821353642	-294.39327407971496			0.1103077679123739	1.154961391874989e-62
ATP5F1E	0.48573888664143505	0.009520773421799569	0.034093495662374206	0.5501594411545582	-375.98262405023627			0.1873439518236747	0.021035762898165264
SLC25A5	1.4802739534219977	9.727700795365693e-20	0.1428677360489575	0.5185900668854969	-433.41581334181365			0.16281146448489858	9.448390574508658e-19
EIF3D	0.5428178642010764	0.0016360994654945166	0.05788646160531049	0.4384380416918052	-305.81317590540255			0.17235633808187278	0.0044707899043178855
PSMD3	0.34657139333940606	0.09979484333393399	0.04487771233672725	0.7252295035780507	-405.1575776705249			0.21057301450614918	0.15613834339806895
COX7C	0.7170655187208407	3.065010299062394e-05	0.16833461221787555	0.5116222509546781	-375.3952231620153			0.1720166683094641	0.00010933727648655304
PFN1	0.4576941507908595	0.008309248718074397	0.05495910485236747	0.5706522993107223	-437.3438766577267			0.17341901507124752	0.018781965420347886
